,f01,f02,f03,f04,f05,f06,f07,f08,f10,kospi_close,kosdaq_close,k200_close,kospi_close_ret1d,kosdaq_close_ret1d,k200_close_ret1d
f01,1.0,0.05600903610091839,0.2445040779925505,0.26093591519435605,-0.4225533771385875,0.04405838368833052,0.15684089907156376,0.2144033147910082,0.20950190972355423,0.3747900839301324,0.23699356167401103,0.39270390953987466,0.16390922298917798,0.10827197750271685,0.16921687812219252
f02,0.05600903610091839,1.0,0.19949513237739847,0.4890544156390537,-0.005357374228659836,-0.0014226739437925141,0.09413913954986847,0.4365754325715194,-0.044340594313744215,0.004392454805707443,-0.0020878069978215144,0.007454082603444482,0.718893630939913,0.7995600749813132,0.6819911261957485
f03,0.2445040779925505,0.19949513237739847,1.0,0.21901393590076293,-0.05684278910767271,-0.010938116874753186,0.28784234995679414,0.15178125443348148,-0.06356438051834316,-0.007854751693361101,0.005015794151185922,-0.007304070484031023,0.17445918008772884,0.1745445999881988,0.1603027293120087
f04,0.26093591519435605,0.4890544156390537,0.21901393590076293,1.0,-0.2051749768451315,-0.06919344932599829,0.07939200731819102,0.38876380006815375,0.008476924744773405,0.07172489964146098,0.09125954752200895,0.079110114332941,0.5952929733757374,0.4655422844590679,0.5844086142981865
f05,-0.4225533771385875,-0.005357374228659836,-0.05684278910767271,-0.2051749768451315,1.0,-0.18830826264289094,0.020424956827436936,-0.012419789157693371,-0.10213723102040491,0.07228562885077869,-0.24766862359000372,0.07050851955587391,-0.02935272389727124,-0.03969829976563748,-0.025730241769438097
f06,0.04405838368833052,-0.0014226739437925141,-0.010938116874753186,-0.06919344932599829,-0.18830826264289094,1.0,0.0003413050975606598,0.19487029535933842,-0.11640782603089915,-0.11927401176315994,0.14751140897965548,-0.15106894089995798,0.03364919763982435,0.035346416029051024,0.033958234912598174
f07,0.15684089907156376,0.09413913954986847,0.28784234995679414,0.07939200731819102,0.020424956827436936,0.0003413050975606598,1.0,0.13640633002320504,-0.046191139597127465,-0.14675776089403977,-0.26603109974016875,-0.12573420903592022,0.10388367704531044,0.0840448826632139,0.10222570642295634
f08,0.2144033147910082,0.4365754325715194,0.15178125443348148,0.38876380006815375,-0.012419789157693371,0.19487029535933842,0.13640633002320504,1.0,-0.016149429748677512,0.0887654444598754,0.10965060516522057,0.08431393051401047,0.5490251887985329,0.4091581881574491,0.5682940772135738
f10,0.20950190972355423,-0.044340594313744215,-0.06356438051834316,0.008476924744773405,-0.10213723102040491,-0.11640782603089915,-0.046191139597127465,-0.016149429748677512,1.0,0.11075844502603222,0.20481187711391685,0.10712032345642253,-0.01978830001172273,-0.030659466440021897,-0.014715835530125575
kospi_close,0.3747900839301324,0.004392454805707443,-0.007854751693361101,0.07172489964146098,0.07228562885077869,-0.11927401176315994,-0.14675776089403977,0.0887654444598754,0.11075844502603222,1.0,0.7289584523451169,0.996094611854624,0.10594267912276674,0.05790151055987727,0.11001089029805294
kosdaq_close,0.23699356167401103,-0.0020878069978215144,0.005015794151185922,0.09125954752200895,-0.24766862359000372,0.14751140897965548,-0.26603109974016875,0.10965060516522057,0.20481187711391685,0.7289584523451169,1.0,0.6892560942090895,0.06858341099153964,0.06314539847408195,0.06581787652477451
k200_close,0.39270390953987466,0.007454082603444482,-0.007304070484031023,0.079110114332941,0.07050851955587391,-0.15106894089995798,-0.12573420903592022,0.08431393051401047,0.10712032345642253,0.996094611854624,0.6892560942090895,1.0,0.10984516143139815,0.058821310681204865,0.11489096531152423
kospi_close_ret1d,0.16390922298917798,0.718893630939913,0.17445918008772884,0.5952929733757374,-0.02935272389727124,0.03364919763982435,0.10388367704531044,0.5490251887985329,-0.01978830001172273,0.10594267912276674,0.06858341099153964,0.10984516143139815,1.0,0.8021211677072314,0.9903715196514092
kosdaq_close_ret1d,0.10827197750271685,0.7995600749813132,0.1745445999881988,0.4655422844590679,-0.03969829976563748,0.035346416029051024,0.0840448826632139,0.4091581881574491,-0.030659466440021897,0.05790151055987727,0.06314539847408195,0.058821310681204865,0.8021211677072314,1.0,0.7558344694227999
k200_close_ret1d,0.16921687812219252,0.6819911261957485,0.1603027293120087,0.5844086142981865,-0.025730241769438097,0.033958234912598174,0.10222570642295634,0.5682940772135738,-0.014715835530125575,0.11001089029805294,0.06581787652477451,0.11489096531152423,0.9903715196514092,0.7558344694227999,1.0
