,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,kospi_close,kosdaq_close,k200_close
f01,1.0,0.08294110753102762,0.23750360858336875,0.24409575054848498,-0.41061785956207236,0.3841950092057272,0.1935811841351818,0.2944075850244831,0.18239954722135643,0.20546152427702405,0.4112856879474787,0.3157511121789308,0.3940900110436717
f02,0.08294110753102762,1.0,0.20671990482912297,0.5721735776298613,0.01132295961974617,0.04097188165557351,0.1236688150691894,0.46811956537835847,-0.05107270711279061,-0.0507849591732043,0.03915281245523185,0.03463913836617871,0.037295354485417924
f03,0.23750360858336875,0.20671990482912297,1.0,0.19879135537351145,0.02922837911752177,0.17299388525987985,0.30756524197386415,0.18303687681706307,-0.14423335597606302,-0.2765153015614291,0.06790327026106446,0.05438185073105407,0.05699665568205477
f04,0.24409575054848498,0.5721735776298613,0.19879135537351145,1.0,-0.10274850983594289,0.060930537648972584,0.09237935199239314,0.509308418351647,-0.011173361133866005,-0.04470145554895379,0.16101461548217139,0.13764608755857594,0.15297816637546507
f05,-0.41061785956207236,0.01132295961974617,0.02922837911752177,-0.10274850983594289,1.0,-0.4597877388203687,0.05249921547725956,-0.09804018508912442,-0.4069828581816649,-0.3397471738174704,-0.20951490336468478,-0.2575642155580791,-0.1923243609339595
f06,0.3841950092057272,0.04097188165557351,0.17299388525987985,0.060930537648972584,-0.4597877388203687,1.0,0.2100592100512341,0.14556092738987517,0.5132191520606566,0.14259648547677672,-0.30124081108574347,0.06627331680979458,-0.3223349472980112
f07,0.1935811841351818,0.1236688150691894,0.30756524197386415,0.09237935199239314,0.05249921547725956,0.2100592100512341,1.0,0.19587333093636955,-0.15890000446459135,-0.06841814603017096,-0.13155162608352058,-0.12175024365035857,-0.12133993002633062
f08,0.2944075850244831,0.46811956537835847,0.18303687681706307,0.509308418351647,-0.09804018508912442,0.14556092738987517,0.19587333093636955,1.0,-0.02387698246270186,0.019695855067666888,0.05673204053606491,0.04141526859555971,0.05459226526293838
f09,0.18239954722135643,-0.05107270711279061,-0.14423335597606302,-0.011173361133866005,-0.4069828581816649,0.5132191520606566,-0.15890000446459135,-0.02387698246270186,1.0,0.20384666744917393,-0.03429202654102378,0.2241819279987565,-0.055150555080820354
f10,0.20546152427702405,-0.0507849591732043,-0.2765153015614291,-0.04470145554895379,-0.3397471738174704,0.14259648547677672,-0.06841814603017096,0.019695855067666888,0.20384666744917393,1.0,0.1954866033387556,0.3028937288631205,0.19948313634398743
kospi_close,0.4112856879474787,0.03915281245523185,0.06790327026106446,0.16101461548217139,-0.20951490336468478,-0.30124081108574347,-0.13155162608352058,0.05673204053606491,-0.03429202654102378,0.1954866033387556,1.0,0.6202608122422479,0.9986375223593713
kosdaq_close,0.3157511121789308,0.03463913836617871,0.05438185073105407,0.13764608755857594,-0.2575642155580791,0.06627331680979458,-0.12175024365035857,0.04141526859555971,0.2241819279987565,0.3028937288631205,0.6202608122422479,1.0,0.616118574959619
k200_close,0.3940900110436717,0.037295354485417924,0.05699665568205477,0.15297816637546507,-0.1923243609339595,-0.3223349472980112,-0.12133993002633062,0.05459226526293838,-0.055150555080820354,0.19948313634398743,0.9986375223593713,0.616118574959619,1.0
