fold_train_end,test_start_date,test_end_date,auc,brier,best_iteration
600,2024-07-22,2024-08-19,0.696969696969697,0.29802874909495897,0
620,2024-08-20,2024-09-19,0.9010989010989011,0.25781321010367864,44
640,2024-09-20,2024-10-22,0.7912087912087912,0.18702209293213184,71
660,2024-10-23,2024-11-19,0.6071428571428571,0.21309651452938416,235
680,2024-11-20,2024-12-17,0.8933333333333333,0.35903756775374074,0
700,2024-12-18,2025-01-17,0.6875,0.3520015285356515,4
720,2025-01-20,2025-02-20,0.6904761904761905,0.26430486207599635,13
740,2025-02-21,2025-03-21,0.7575757575757576,0.20589126458063647,157
760,2025-03-24,2025-04-18,0.8181818181818182,0.21485275844231005,64
780,2025-04-21,2025-05-21,,0.35164217968224987,1
800,2025-05-22,2025-06-20,,0.4389066000935628,0
820,2025-06-23,2025-07-18,0.9473684210526315,0.25098425959426224,42
840,2025-07-21,2025-08-18,0.36904761904761907,0.32066653508378606,0
860,2025-08-19,2025-09-15,0.15789473684210525,0.30696547428885157,0
880,2025-09-16,2025-10-20,0.9473684210526315,0.1417127199078798,172
900,2025-10-21,2025-11-17,0.71875,0.2745014725722178,0
920,2025-11-18,2025-12-15,0.76,0.3354633408436449,0
940,2025-12-16,2026-01-15,,0.1279894165019809,200
