fold_train_end,test_start_date,test_end_date,auc,brier,best_iteration,train_rows,test_rows,tag,horizon_days,target_col,n_rows_used,n_features,add_usdkrw_ret20
600,2021-07-14,2021-10-13,0.735,0.2720785110600167,68,600,60,8Y,10,kospi_close,1715,23,1
660,2021-10-14,2022-01-06,0.6893453145057766,0.23813700479866076,28,660,60,8Y,10,kospi_close,1715,23,1
720,2022-01-07,2022-04-07,0.9126984126984127,0.17996124676400668,685,720,60,8Y,10,kospi_close,1715,23,1
780,2022-04-08,2022-07-05,0.5980113636363636,0.24981009449846264,35,780,60,8Y,10,kospi_close,1715,23,1
840,2022-07-06,2022-09-30,0.9954285714285714,0.06480916691476626,1204,840,60,8Y,10,kospi_close,1715,23,1
900,2022-10-04,2022-12-27,0.40378197997775306,0.280584474917104,20,900,60,8Y,10,kospi_close,1715,23,1
960,2022-12-28,2023-03-27,0.4603174603174603,0.29398781931214113,0,960,60,8Y,10,kospi_close,1715,23,1
1020,2023-03-28,2023-06-23,0.6908482142857143,0.2562316098193446,14,1020,60,8Y,10,kospi_close,1715,23,1
1080,2023-06-26,2023-09-18,0.29910714285714285,0.34357307032272016,11,1080,60,8Y,10,kospi_close,1715,23,1
1140,2023-09-19,2023-12-18,0.2925969447708578,0.30610192505629363,0,1140,60,8Y,10,kospi_close,1715,23,1
1200,2023-12-19,2024-03-19,0.25396825396825395,0.32450822433119286,0,1200,60,8Y,10,kospi_close,1715,23,1
1260,2024-03-20,2024-06-18,0.7566964285714286,0.22088215653960308,186,1260,60,8Y,10,kospi_close,1715,23,1
1320,2024-06-19,2024-09-11,0.7017142857142857,0.2497771999159377,34,1320,60,8Y,10,kospi_close,1715,23,1
1380,2024-09-12,2024-12-12,0.7021822849807445,0.296575188726844,3,1380,60,8Y,10,kospi_close,1715,23,1
1440,2024-12-13,2025-03-18,0.6666666666666666,0.3712969475381049,0,1440,60,8Y,10,kospi_close,1715,23,1
1500,2025-03-19,2025-06-17,0.5555555555555556,0.2810355993039888,12,1500,60,8Y,10,kospi_close,1715,23,1
1560,2025-06-18,2025-09-10,0.5007407407407407,0.27524668114939943,7,1560,60,8Y,10,kospi_close,1715,23,1
1620,2025-09-11,2025-12-10,0.754813863928113,0.201347579026638,236,1620,60,8Y,10,kospi_close,1715,23,1
