factor,base_factor,is_contrarian,n,target_index,horizon_days,ic_spearman,ic_pearson,auc_hit_up,p_up_top20,p_up_bottom20,delta_p_up,p_up_all,score,tag
f01,f01,0,969,kospi_close,10,0.03187617988819364,0.07651313411728711,0.5084803900418519,0.5567010309278351,0.5532994923857868,0.003401538542048277,0.5562435500515995,0.03357694915921778,1Y
f02,f02,0,969,kospi_close,10,0.00541588553894976,0.007106775224417914,0.5084113560857747,0.5567010309278351,0.5561224489795918,0.0005785819482432286,0.5562435500515995,0.005705176513071375,1Y
f03_c,f03,1,969,kospi_close,10,0.016099278212980943,-0.01911817656932546,0.5200910385295767,0.5876288659793815,0.5360824742268041,0.05154639175257736,0.5562435500515995,0.041872474089269626,1Y
f04,f04,0,969,kospi_close,10,0.05339554608740182,0.06498472723065123,0.5178733226905985,0.6224489795918368,0.5276381909547738,0.09481078863706294,0.5562435500515995,0.10080094040593329,1Y
f05_c,f05,1,969,kospi_close,10,0.09443822822450297,0.12773375758752084,0.5411787548000172,0.5306122448979592,0.5043478260869565,0.02626441881100272,0.5562435500515995,0.10757043763000433,1Y
f06_c,f06,1,969,kospi_close,10,0.16826350473943494,0.1531765983103703,0.578631833282996,0.6345177664974619,0.5,0.13451776649746194,0.5562435500515995,0.2355223879881659,1Y
f07,f07,0,969,kospi_close,10,0.08071875001493363,0.0616027454743481,0.5615459291539026,0.6632653061224489,0.5076923076923077,0.15557299843014127,0.5562435500515995,0.15850524923000425,1Y
f08,f08,0,969,kospi_close,10,0.045727231109724986,0.056966371142833136,0.5266967252017086,0.6030927835051546,0.5532994923857868,0.04979329111936781,0.5562435500515995,0.07062387666940889,1Y
f09_c,f09,1,969,kospi_close,10,0.20493770797816707,0.20665807741427286,0.603676058161108,0.6479591836734694,0.4329896907216495,0.21496949295181988,0.5562435500515995,0.312422454454077,1Y
f10,f10,0,969,kospi_close,10,0.0038912665568925247,0.049501304436142125,0.5004875523147948,0.5487179487179488,0.5824742268041238,-0.033756278086174984,0.5562435500515995,0.0038912665568925247,1Y
