factor,base_factor,is_contrarian,n,target_index,horizon_days,ic_spearman,ic_pearson,auc_hit_up,p_up_top20,p_up_bottom20,delta_p_up,p_up_all,score,tag
f01,f01,0,975,kospi_close,5,0.03802330249785335,0.08165931711730806,0.48871636235168414,0.5527638190954773,0.5583756345177665,-0.005611815422289168,0.5764102564102564,0.03802330249785335,1Y
f02,f02,0,975,kospi_close,5,0.014795066552096505,0.009255979053109683,0.5256283766899607,0.6,0.5757575757575758,0.024242424242424176,0.5764102564102564,0.02691627867330859,1Y
f03_c,f03,1,975,kospi_close,5,0.02849645810118923,-0.0058798693053660304,0.5087675458626661,0.6358974358974359,0.5897435897435898,0.0461538461538461,0.5764102564102564,0.051573381178112276,1Y
f04,f04,0,975,kospi_close,5,0.060718538244220396,0.062139414404257916,0.5418257175600804,0.6565656565656566,0.5282051282051282,0.12836052836052836,0.5764102564102564,0.12489880242448458,1Y
f05_c,f05,1,975,kospi_close,5,0.07040009124018681,0.09322455297672405,0.5420260570601363,0.5714285714285714,0.5173913043478261,0.0540372670807453,0.5764102564102564,0.09741872478055946,1Y
f06_c,f06,1,975,kospi_close,5,0.16873649667648635,0.13215157765531013,0.563287894324145,0.6532663316582915,0.5102040816326531,0.14306225002563844,0.5764102564102564,0.24026762168930557,1Y
f07,f07,0,975,kospi_close,5,0.06315215890943217,0.06661070558558606,0.5360481848810458,0.7091836734693877,0.5879396984924623,0.1212439749769254,0.5764102564102564,0.12377414639789487,1Y
f08,f08,0,975,kospi_close,5,0.0292532164555119,0.03503423686282596,0.5180865638975296,0.6307692307692307,0.5353535353535354,0.09541569541569539,0.5764102564102564,0.0769610641633596,1Y
f09_c,f09,1,975,kospi_close,5,0.17115825631020473,0.18604665818917243,0.5654377741204449,0.6326530612244898,0.494949494949495,0.13770356627499486,0.5764102564102564,0.24001003944770216,1Y
f10_c,f10,1,975,kospi_close,5,0.019024185278624497,0.0006008353464706779,0.5249411906628868,0.6130653266331658,0.5641025641025641,0.04896276253060172,0.5764102564102564,0.04350556654392536,1Y
f01,f01,0,970,kospi_close,10,0.034206192327547666,0.07795299870635143,0.509328165374677,0.558974358974359,0.5532994923857868,0.005674866588572192,0.5567010309278351,0.03704362562183376,1Y
f02,f02,0,970,kospi_close,10,0.006781799831388288,0.0083296710225311,0.5089061154177433,0.5567010309278351,0.5561224489795918,0.0005785819482432286,0.5567010309278351,0.007071090805509902,1Y
f03_c,f03,1,970,kospi_close,10,0.014435758332888713,-0.02063855311670216,0.5194552110249785,0.5876288659793815,0.5384615384615384,0.04916732751784303,0.5567010309278351,0.039019422091810224,1Y
f04,f04,0,970,kospi_close,10,0.05334947472837997,0.06492899800730748,0.5178639104220499,0.6224489795918368,0.5276381909547738,0.09481078863706294,0.5567010309278351,0.10075486904691144,1Y
f05_c,f05,1,970,kospi_close,10,0.09506824459732119,0.128438549178167,0.5413996554694229,0.5306122448979592,0.5043478260869565,0.02626441881100272,0.5567010309278351,0.10820045400282255,1Y
f06_c,f06,1,970,kospi_close,10,0.17016754732213016,0.154509291323491,0.5793432385874246,0.6391752577319587,0.5,0.1391752577319587,0.5567010309278351,0.23975517618810951,1Y
f07,f07,0,970,kospi_close,10,0.08168995421536118,0.06256955700777549,0.5619465977605512,0.6632653061224489,0.5076923076923077,0.15557299843014127,0.5567010309278351,0.15947645343043182,1Y
f08,f08,0,970,kospi_close,10,0.04346120719506215,0.054957433951127364,0.5258333333333334,0.6030927835051546,0.5618556701030928,0.04123711340206182,0.5567010309278351,0.06407976389609306,1Y
f09_c,f09,1,970,kospi_close,10,0.20676367318311215,0.20805787034954648,0.6043776916451336,0.649746192893401,0.4329896907216495,0.21675650217175146,0.5567010309278351,0.3151419242689879,1Y
f10,f10,0,970,kospi_close,10,0.002521507846475727,0.048142435475502884,0.4999569336778639,0.5487179487179488,0.5824742268041238,-0.033756278086174984,0.5567010309278351,0.002521507846475727,1Y
f01,f01,0,960,kospi_close,20,0.033546125954575595,0.09480311083670631,0.49719866175562377,0.4896907216494845,0.5989847715736041,-0.10929404992411956,0.5760416666666667,0.033546125954575595,1Y
f02,f02,0,960,kospi_close,20,0.003651171883381505,-0.0026209061137011766,0.5027613508626166,0.5625,0.5625,0.0,0.5760416666666667,0.003651171883381505,1Y
f03_c,f03,1,960,kospi_close,20,0.003097649062342032,-0.04743496157941347,0.5229971875541496,0.59375,0.5260416666666666,0.06770833333333337,0.5760416666666667,0.03695181572900872,1Y
f04_c,f04,1,960,kospi_close,20,0.014569663515827603,-0.003311085481685916,0.5228750038876622,0.6269430051813472,0.5803108808290155,0.04663212435233166,0.5760416666666667,0.03788572569199343,1Y
f05_c,f05,1,960,kospi_close,20,0.13620882287006278,0.177705525843515,0.5617760617760618,0.5572916666666666,0.5217391304347826,0.035552536231884035,0.5760416666666667,0.1539850909860048,1Y
f06_c,f06,1,960,kospi_close,20,0.1655881223238242,0.1671759406483334,0.5702245069333677,0.6395939086294417,0.49740932642487046,0.1421845822045712,0.5760416666666667,0.2366804134261098,1Y
f07_c,f07,1,960,kospi_close,20,0.0007484119594676416,0.022264057811800353,0.480917132815867,0.5948717948717949,0.5803108808290155,0.014560914042779372,0.5760416666666667,0.008028868980857327,1Y
f08,f08,0,960,kospi_close,20,0.03926607998252221,0.048178692461980664,0.5070133424563804,0.5876288659793815,0.5699481865284974,0.01768067945088403,0.5760416666666667,0.048106419707964226,1Y
f09_c,f09,1,960,kospi_close,20,0.19776173398492827,0.18766877836982016,0.6095143310333184,0.703125,0.515625,0.1875,0.5760416666666667,0.29151173398492825,1Y
f10,f10,0,960,kospi_close,20,0.02159678843916816,0.07046782312436081,0.5028635408382244,0.5520833333333334,0.5670103092783505,-0.014926975945017129,0.5760416666666667,0.02159678843916816,1Y
