factor,base_factor,is_contrarian,5,10,20,score_avg,w_raw_avg
f09_c,f09,1,0.2370100875010002,0.312422454454077,0.29140466555494493,0.2802790691700074,0.27880632374938424
f06_c,f06,1,0.2368742883817547,0.2355223879881659,0.235364323744073,0.2359203333713312,0.23468067394319975
f05_c,f05,1,0.09747962636330773,0.10757043763000433,0.15357256161103988,0.11954087520145064,0.11891273954704175
f07,f07,0,0.12741269964133983,0.15850524923000425,0.0,0.09530598295711469,0.09480519119134449
f04,f04,0,0.1344050892158411,0.10080094040593329,0.0,0.0784020098739248,0.07799004118374968
f08,f08,0,0.08120525188392644,0.07062387666940889,0.045028844496245474,0.06561932434986027,0.06527452314966069
f03_c,f03,1,0.058124227919010354,0.041872474089269626,0.03584604562220865,0.04528091587682955,0.045042984226433026
f01,f01,0,0.036081508499908134,0.03357694915921778,0.030878607272049857,0.03351235497705859,0.03333626202986522
f10_c,f10,1,0.04182266082354169,0.0,0.0,0.013940886941180564,0.013867633603131282
f04_c,f04,1,0.0,0.0,0.0387507388403128,0.012916912946770933,0.012849040149678812
f02,f02,0,0.029878097018102023,0.005705176513071375,0.0027442296177374857,0.012775834382970294,0.012708702892781329
f10,f10,0,0.0,0.0038912665568925247,0.02058052024505646,0.008157262267316329,0.008114399378251556
f07_c,f07,1,0.0,0.0,0.01089168597071828,0.0036305619902394265,0.0036114849554781535
