date,kospi_close,kosdaq_close,k200_close
2016-10-10,2056.82,674.74,260.31
2016-10-11,2031.93,670.64,256.15
2016-10-12,2033.73,669.95,256.2
2016-10-13,2015.44,663.09,253.93
2016-10-14,2022.66,664.92,255.09
2016-10-17,2027.61,659.83,256.19
2016-10-18,2040.43,660.29,257.98
2016-10-19,2040.94,661.26,258.21
2016-10-20,2040.6,655.68,258.41
2016-10-21,2033.0,651.77,257.26
2016-10-24,2047.74,647.88,259.48
2016-10-25,2037.17,640.17,258.57
2016-10-26,2013.89,635.51,255.52
2016-10-27,2024.12,648.57,256.66
2016-10-28,2019.42,640.17,256.53
2016-10-31,2008.19,624.68,255.93
2016-11-01,2007.39,626.38,255.99
2016-11-02,1978.94,606.06,252.83
2016-11-03,1983.8,609.99,252.9
2016-11-04,1982.02,610.82,252.57
2016-11-07,1997.58,622.17,254.6
2016-11-08,2003.38,624.19,255.26
2016-11-09,1958.38,599.74,249.67
2016-11-10,2002.6,623.23,255.31
2016-11-11,1984.43,621.89,251.99
2016-11-14,1974.4,621.23,250.01
2016-11-15,1967.53,617.43,249.2
2016-11-16,1979.65,627.83,250.32
2016-11-17,1980.55,627.76,250.46
2016-11-18,1974.58,620.26,250.21
2016-11-21,1966.05,609.33,249.51
2016-11-22,1983.47,610.74,252.37
2016-11-23,1987.95,600.29,253.66
2016-11-24,1971.26,592.65,252.03
2016-11-25,1974.46,597.82,252.26
2016-11-28,1978.13,593.05,252.96
2016-11-29,1978.39,596.07,252.91
2016-11-30,1983.48,596.11,254.26
2016-12-01,1983.75,593.85,254.48
2016-12-02,1970.61,586.73,252.88
2016-12-05,1963.36,575.12,252.14
2016-12-06,1989.86,581.35,255.63
2016-12-07,1991.89,578.52,256.34
2016-12-08,2031.07,584.62,262.0
2016-12-09,2024.69,594.35,260.91
2016-12-12,2027.24,603.08,260.72
2016-12-13,2035.98,611.09,261.63
2016-12-14,2036.87,612.47,262.0
2016-12-15,2036.65,620.61,261.45
2016-12-16,2042.24,622.08,262.56
2016-12-19,2038.39,622.77,261.93
2016-12-20,2041.94,617.99,262.59
2016-12-21,2037.96,618.63,262.1
2016-12-22,2035.73,615.93,261.97
2016-12-23,2035.9,619.75,261.61
2016-12-26,2037.75,615.16,261.9
2016-12-27,2042.17,618.38,262.49
2016-12-28,2024.49,627.27,259.7
2016-12-29,2026.46,631.44,260.01
2017-01-02,2026.16,632.04,260.36
2017-01-03,2043.97,636.57,262.97
2017-01-04,2045.64,639.79,263.12
2017-01-05,2041.95,642.48,261.98
2017-01-06,2049.12,643.68,263.2
2017-01-09,2048.78,642.15,263.74
2017-01-10,2045.12,636.73,263.73
2017-01-11,2075.17,637.9,268.15
2017-01-12,2087.14,632.87,269.95
2017-01-13,2076.79,634.68,267.91
2017-01-16,2064.17,627.88,266.15
2017-01-17,2071.87,624.0,267.37
2017-01-18,2070.54,626.89,267.08
2017-01-19,2072.79,626.19,267.7
2017-01-20,2065.61,622.12,266.52
2017-01-23,2065.99,615.99,267.12
2017-01-24,2065.76,612.93,267.3
2017-01-25,2066.94,609.64,268.15
2017-01-26,2083.59,616.81,270.48
2017-01-31,2067.57,616.13,268.09
2017-02-01,2080.48,623.68,269.56
2017-02-02,2071.01,613.04,268.49
2017-02-03,2073.16,609.21,268.85
2017-02-06,2077.66,610.96,269.49
2017-02-07,2075.21,608.72,268.97
2017-02-08,2065.08,608.79,267.72
2017-02-09,2065.88,611.04,267.69
2017-02-10,2075.08,610.58,268.66
2017-02-13,2078.65,611.94,268.81
2017-02-14,2074.57,611.54,267.9
2017-02-15,2083.86,615.95,268.81
2017-02-16,2081.84,616.58,268.93
2017-02-17,2080.58,618.7,268.84
2017-02-20,2084.39,619.97,269.73
2017-02-21,2102.93,622.47,272.11
2017-02-22,2106.61,621.39,272.85
2017-02-23,2107.63,617.67,272.89
2017-02-24,2094.12,614.75,270.38
2017-02-27,2085.52,612.12,268.97
2017-02-28,2091.64,612.2,270.06
2017-03-02,2102.65,608.93,272.65
2017-03-03,2078.75,600.73,269.77
