date,k200_close
2016-10-10,260.31
2016-10-11,256.15
2016-10-12,256.2
2016-10-13,253.93
2016-10-14,255.09
2016-10-17,256.19
2016-10-18,257.98
2016-10-19,258.21
2016-10-20,258.41
2016-10-21,257.26
2016-10-24,259.48
2016-10-25,258.57
2016-10-26,255.52
2016-10-27,256.66
2016-10-28,256.53
2016-10-31,255.93
2016-11-01,255.99
2016-11-02,252.83
2016-11-03,252.9
2016-11-04,252.57
2016-11-07,254.6
2016-11-08,255.26
2016-11-09,249.67
2016-11-10,255.31
2016-11-11,251.99
2016-11-14,250.01
2016-11-15,249.2
2016-11-16,250.32
2016-11-17,250.46
2016-11-18,250.21
2016-11-21,249.51
2016-11-22,252.37
2016-11-23,253.66
2016-11-24,252.03
2016-11-25,252.26
2016-11-28,252.96
2016-11-29,252.91
2016-11-30,254.26
2016-12-01,254.48
2016-12-02,252.88
2016-12-05,252.14
2016-12-06,255.63
2016-12-07,256.34
2016-12-08,262.0
2016-12-09,260.91
2016-12-12,260.72
2016-12-13,261.63
2016-12-14,262.0
2016-12-15,261.45
2016-12-16,262.56
2016-12-19,261.93
2016-12-20,262.59
2016-12-21,262.1
2016-12-22,261.97
2016-12-23,261.61
2016-12-26,261.9
2016-12-27,262.49
2016-12-28,259.7
2016-12-29,260.01
2017-01-02,260.36
2017-01-03,262.97
2017-01-04,263.12
2017-01-05,261.98
2017-01-06,263.2
2017-01-09,263.74
2017-01-10,263.73
2017-01-11,268.15
2017-01-12,269.95
2017-01-13,267.91
2017-01-16,266.15
2017-01-17,267.37
2017-01-18,267.08
2017-01-19,267.7
2017-01-20,266.52
2017-01-23,267.12
2017-01-24,267.3
2017-01-25,268.15
2017-01-26,270.48
2017-01-31,268.09
2017-02-01,269.56
2017-02-02,268.49
2017-02-03,268.85
2017-02-06,269.49
2017-02-07,268.97
2017-02-08,267.72
2017-02-09,267.69
2017-02-10,268.66
2017-02-13,268.81
2017-02-14,267.9
2017-02-15,268.81
2017-02-16,268.93
2017-02-17,268.84
2017-02-20,269.73
2017-02-21,272.11
2017-02-22,272.85
2017-02-23,272.89
2017-02-24,270.38
2017-02-27,268.97
2017-02-28,270.06
2017-03-02,272.65
2017-03-03,269.77
2017-03-06,270.41
2017-03-07,271.87
2017-03-08,272.29
2017-03-09,271.62
2017-03-10,272.29
2017-03-13,275.41
2017-03-14,277.89
2017-03-15,277.89
2017-03-16,280.11
2017-03-17,281.86
2017-03-20,280.75
2017-03-21,283.84
2017-03-22,282.63
2017-03-23,282.81
2017-03-24,282.31
2017-03-27,280.36
2017-03-28,281.25
2017-03-29,281.86
2017-03-30,281.66
2017-03-31,280.64
2017-04-03,281.6
2017-04-04,280.92
2017-04-05,280.74
2017-04-06,279.47
2017-04-07,279.01
2017-04-10,277.21
2017-04-11,275.49
2017-04-12,276.21
2017-04-13,279.12
2017-04-14,277.31
2017-04-17,278.1
2017-04-18,278.23
2017-04-19,276.49
2017-04-20,277.76
2017-04-21,280.05
2017-04-24,281.96
2017-04-25,285.41
2017-04-26,286.78
2017-04-27,287.34
2017-04-28,287.21
2017-05-02,289.65
2017-05-04,292.47
2017-05-08,299.86
2017-05-10,296.19
2017-05-11,299.75
2017-05-12,298.25
2017-05-15,298.87
2017-05-16,299.67
2017-05-17,299.34
2017-05-18,298.47
2017-05-19,298.08
2017-05-22,300.63
2017-05-23,301.36
2017-05-24,301.71
2017-05-25,305.22
2017-05-26,306.96
2017-05-29,306.52
2017-05-30,304.59
2017-05-31,304.67
2017-06-01,304.03
2017-06-02,307.83
2017-06-05,307.33
2017-06-07,305.68
2017-06-08,306.25
2017-06-09,309.38
2017-06-12,306.24
2017-06-13,308.02
2017-06-14,307.95
2017-06-15,306.69
2017-06-16,306.79
2017-06-19,308.61
2017-06-20,309.31
2017-06-21,307.52
2017-06-22,309.47
2017-06-23,310.26
2017-06-26,311.89
2017-06-27,312.12
2017-06-28,310.84
2017-06-29,312.56
2017-06-30,311.76
2017-07-03,312.39
2017-07-04,310.46
2017-07-05,311.77
2017-07-06,311.88
2017-07-07,310.66
2017-07-10,311.46
2017-07-11,313.59
2017-07-12,313.58
2017-07-13,316.35
2017-07-14,317.35
2017-07-17,318.52
2017-07-18,318.65
2017-07-19,318.91
2017-07-20,320.61
2017-07-21,321.79
2017-07-24,322.01
2017-07-25,320.15
2017-07-26,319.46
2017-07-27,320.51
2017-07-28,314.13
2017-07-31,314.6
2017-08-01,317.04
2017-08-02,317.69
2017-08-03,312.29
2017-08-04,313.46
2017-08-07,313.96
2017-08-08,313.4
2017-08-09,309.52
2017-08-10,308.37
2017-08-11,302.72
2017-08-14,304.93
2017-08-16,307.16
2017-08-17,309.02
2017-08-18,308.39
2017-08-21,308.14
2017-08-22,309.34
2017-08-23,309.71
2017-08-24,310.73
2017-08-25,311.21
2017-08-28,309.53
2017-08-29,308.64
2017-08-30,309.65
2017-08-31,308.28
2017-09-01,307.78
2017-09-04,304.19
2017-09-05,304.06
2017-09-06,303.18
2017-09-07,306.97
2017-09-08,307.43
2017-09-11,309.83
2017-09-12,310.42
2017-09-13,310.0
2017-09-14,312.52
2017-09-15,313.69
2017-09-18,318.93
2017-09-19,318.51
2017-09-20,318.48
2017-09-21,318.25
2017-09-22,316.71
2017-09-25,316.4
2017-09-26,314.29
2017-09-27,313.82
2017-09-28,313.85
2017-09-29,316.27
2017-10-10,322.49
2017-10-11,326.12
2017-10-12,328.11
2017-10-13,327.35
2017-10-16,327.82
2017-10-17,328.51
2017-10-18,328.4
2017-10-19,326.47
2017-10-20,328.89
2017-10-23,329.45
2017-10-24,328.96
2017-10-25,329.31
2017-10-26,326.99
2017-10-27,329.23
