date,ktb3y,corp_aa_3y,corp_bbb_3y
2016-10-10,1.335,1.75,7.834
2016-10-11,1.373,1.783,7.87
2016-10-12,1.353,1.774,7.863
2016-10-13,1.323,1.749,7.837
2016-10-14,1.319,1.75,7.838
2016-10-17,1.35,1.78,7.868
2016-10-18,1.353,1.78,7.864
2016-10-19,1.352,1.78,7.865
2016-10-20,1.354,1.781,7.867
2016-10-21,1.381,1.804,7.895
2016-10-24,1.385,1.808,7.899
2016-10-25,1.398,1.824,7.918
2016-10-26,1.405,1.829,7.923
2016-10-27,1.418,1.835,7.933
2016-10-28,1.438,1.856,7.955
2016-10-31,1.438,1.852,7.952
2016-11-01,1.451,1.868,7.965
2016-11-02,1.436,1.854,7.953
2016-11-03,1.428,1.85,7.949
2016-11-04,1.431,1.852,7.954
2016-11-07,1.426,1.848,7.948
2016-11-08,1.425,1.844,7.943
2016-11-09,1.402,1.823,7.925
2016-11-10,1.465,1.884,7.987
2016-11-11,1.508,1.924,8.027
2016-11-14,1.61,2.013,8.133
2016-11-15,1.635,2.025,8.146
2016-11-16,1.689,2.074,8.192
2016-11-17,1.713,2.097,8.206
2016-11-18,1.736,2.132,8.246
2016-11-21,1.725,2.132,8.241
2016-11-22,1.735,2.141,8.25
2016-11-23,1.775,2.172,8.282
2016-11-24,1.811,2.215,8.324
2016-11-25,1.811,2.219,8.328
2016-11-28,1.764,2.18,8.288
2016-11-29,1.709,2.152,8.26
2016-11-30,1.71,2.152,8.261
2016-12-01,1.726,2.175,8.281
2016-12-02,1.745,2.194,8.299
2016-12-05,1.727,2.177,8.283
2016-12-06,1.737,2.189,8.295
2016-12-07,1.736,2.188,8.295
2016-12-08,1.714,2.167,8.279
2016-12-09,1.735,2.187,8.299
2016-12-12,1.734,2.197,8.315
2016-12-13,1.676,2.153,8.27
2016-12-14,1.644,2.125,8.243
2016-12-15,1.697,2.169,8.286
2016-12-16,1.688,2.159,8.277
2016-12-19,1.694,2.164,8.283
2016-12-20,1.714,2.172,8.296
2016-12-21,1.687,2.156,8.278
2016-12-22,1.657,2.14,8.266
2016-12-23,1.665,2.149,8.275
2016-12-26,1.669,2.155,8.283
2016-12-27,1.654,2.147,8.279
2016-12-28,1.643,2.135,8.27
2016-12-29,1.638,2.128,8.265
2016-12-30,1.638,2.128,8.265
2017-01-02,1.638,2.12,8.262
2017-01-03,1.617,2.097,8.247
2017-01-04,1.63,2.095,8.255
2017-01-05,1.607,2.072,8.236
2017-01-06,1.626,2.086,8.252
2017-01-09,1.663,2.115,8.284
2017-01-10,1.647,2.098,8.267
2017-01-11,1.653,2.105,8.276
2017-01-12,1.624,2.075,8.248
2017-01-13,1.635,2.089,8.265
2017-01-16,1.633,2.092,8.27
2017-01-17,1.628,2.083,8.266
2017-01-18,1.649,2.102,8.289
2017-01-19,1.677,2.135,8.32
2017-01-20,1.655,2.117,8.307
2017-01-23,1.64,2.104,8.297
2017-01-24,1.628,2.093,8.285
2017-01-25,1.647,2.111,8.304
2017-01-26,1.687,2.151,8.347
2017-01-31,1.675,2.14,8.337
2017-02-01,1.685,2.151,8.348
2017-02-02,1.674,2.139,8.335
2017-02-03,1.685,2.149,8.345
2017-02-06,1.662,2.126,8.326
2017-02-07,1.641,2.105,8.304
2017-02-08,1.652,2.112,8.314
2017-02-09,1.648,2.109,8.31
2017-02-10,1.668,2.127,8.331
2017-02-13,1.663,2.123,8.329
2017-02-14,1.653,2.113,8.319
2017-02-15,1.661,2.126,8.329
2017-02-16,1.656,2.121,8.321
2017-02-17,1.655,2.121,8.32
2017-02-20,1.67,2.135,8.336
2017-02-21,1.671,2.137,8.338
2017-02-22,1.69,2.155,8.357
2017-02-23,1.676,2.141,8.343
2017-02-24,1.666,2.133,8.337
2017-02-27,1.663,2.129,8.334
2017-02-28,1.67,2.138,8.342
2017-03-02,1.713,2.18,8.386
2017-03-03,1.713,2.182,8.389
2017-03-06,1.746,2.217,8.422
2017-03-07,1.784,2.257,8.464
2017-03-08,1.784,2.256,8.464
2017-03-09,1.789,2.265,8.474
2017-03-10,1.78,2.258,8.468
2017-03-13,1.765,2.248,8.457
2017-03-14,1.758,2.244,8.454
2017-03-15,1.759,2.247,8.456
2017-03-16,1.695,2.196,8.395
2017-03-17,1.675,2.187,8.383
2017-03-20,1.67,2.188,8.387
2017-03-21,1.67,2.187,8.389
2017-03-22,1.663,2.179,8.38
2017-03-23,1.666,2.184,8.386
2017-03-24,1.678,2.199,8.4
2017-03-27,1.65,2.174,8.378
2017-03-28,1.657,2.18,8.385
2017-03-29,1.653,2.179,8.385
2017-03-30,1.665,2.186,8.392
2017-03-31,1.662,2.183,8.39
2017-04-03,1.668,2.184,8.393
2017-04-04,1.646,2.161,8.373
2017-04-05,1.654,2.169,8.381
2017-04-06,1.679,2.192,8.405
2017-04-07,1.681,2.198,8.411
2017-04-10,1.722,2.234,8.449
2017-04-11,1.693,2.205,8.42
2017-04-12,1.686,2.199,8.415
2017-04-13,1.674,2.187,8.402
2017-04-14,1.677,2.19,8.406
2017-04-17,1.673,2.187,8.403
2017-04-18,1.676,2.191,8.406
2017-04-19,1.67,2.185,8.4
2017-04-20,1.674,2.191,8.406
2017-04-21,1.684,2.202,8.417
2017-04-24,1.701,2.22,8.435
2017-04-25,1.677,2.203,8.423
2017-04-26,1.682,2.207,8.428
2017-04-27,1.673,2.199,8.419
2017-04-28,1.675,2.2,8.419
2017-05-02,1.69,2.216,8.434
2017-05-04,1.681,2.206,8.426
2017-05-08,1.707,2.231,8.451
2017-05-10,1.733,2.256,8.477
2017-05-11,1.727,2.252,8.475
2017-05-12,1.71,2.237,8.461
2017-05-15,1.71,2.237,8.463
2017-05-16,1.717,2.24,8.467
2017-05-17,1.684,2.207,8.435
2017-05-18,1.683,2.207,8.436
2017-05-19,1.671,2.195,8.426
2017-05-22,1.685,2.211,8.442
2017-05-23,1.676,2.202,8.432
2017-05-24,1.691,2.216,8.446
2017-05-25,1.681,2.207,8.437
2017-05-26,1.677,2.204,8.434
2017-05-29,1.672,2.202,8.432
2017-05-30,1.658,2.189,8.419
2017-05-31,1.661,2.193,8.422
2017-06-01,1.645,2.179,8.409
2017-06-02,1.63,2.166,8.397
2017-06-05,1.623,2.158,8.389
2017-06-07,1.621,2.157,8.388
2017-06-08,1.637,2.173,8.402
2017-06-09,1.632,2.17,8.4
2017-06-12,1.697,2.225,8.46
2017-06-13,1.661,2.194,8.431
2017-06-14,1.681,2.213,8.451
2017-06-15,1.682,2.212,8.45
2017-06-16,1.695,2.227,8.466
2017-06-19,1.683,2.216,8.456
2017-06-20,1.685,2.218,8.457
2017-06-21,1.692,2.225,8.463
2017-06-22,1.701,2.235,8.471
2017-06-23,1.688,2.223,8.462
2017-06-26,1.686,2.222,8.461
2017-06-27,1.681,2.218,8.457
2017-06-28,1.711,2.246,8.485
2017-06-29,1.7,2.241,8.48
2017-06-30,1.698,2.24,8.48
2017-07-03,1.716,2.256,8.498
2017-07-04,1.74,2.28,8.521
2017-07-05,1.745,2.285,8.526
2017-07-06,1.75,2.29,8.529
2017-07-07,1.781,2.318,8.559
2017-07-10,1.756,2.295,8.535
2017-07-11,1.762,2.3,8.54
2017-07-12,1.762,2.299,8.539
2017-07-13,1.745,2.28,8.523
2017-07-14,1.75,2.285,8.528
2017-07-17,1.754,2.292,8.535
2017-07-18,1.746,2.285,8.53
2017-07-19,1.747,2.285,8.53
2017-07-20,1.74,2.279,8.524
2017-07-21,1.721,2.262,8.509
2017-07-24,1.72,2.259,8.505
2017-07-25,1.709,2.248,8.492
2017-07-26,1.729,2.264,8.508
2017-07-27,1.712,2.25,8.491
2017-07-28,1.723,2.257,8.498
2017-07-31,1.724,2.26,8.5
2017-08-01,1.733,2.271,8.515
2017-08-02,1.73,2.27,8.513
2017-08-03,1.737,2.276,8.52
2017-08-04,1.742,2.279,8.522
2017-08-07,1.772,2.307,8.553
2017-08-08,1.805,2.331,8.579
2017-08-09,1.833,2.363,8.603
2017-08-10,1.824,2.353,8.592
2017-08-11,1.804,2.338,8.581
2017-08-14,1.802,2.338,8.581
2017-08-16,1.821,2.359,8.601
2017-08-17,1.801,2.34,8.584
2017-08-18,1.777,2.323,8.57
2017-08-21,1.784,2.325,8.573
2017-08-22,1.803,2.341,8.587
2017-08-23,1.797,2.336,8.582
2017-08-24,1.801,2.339,8.586
2017-08-25,1.755,2.306,8.553
2017-08-28,1.758,2.308,8.556
2017-08-29,1.772,2.322,8.569
2017-08-30,1.752,2.307,8.552
2017-08-31,1.747,2.304,8.548
2017-09-01,1.747,2.302,8.546
2017-09-04,1.782,2.335,8.578
2017-09-05,1.78,2.333,8.576
2017-09-06,1.775,2.324,8.566
