종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
282330,BGF리테일,"139,400","1,500","1.09","14,833,287,200","2,409,376,496,400"
138930,BNK금융지주,"22,050","600","2.80","58,030,568,325","6,842,711,077,650"
001040,CJ,"228,000","-4,000","1.72","21,484,533,500","6,652,355,544,000"
000120,CJ대한통운,"140,400","-2,400","1.68","17,527,917,000","3,202,853,097,600"
097950,CJ제일제당,"222,500","-8,000","3.47","17,482,216,000","3,349,556,385,000"
005830,DB손해보험,"182,100","-4,600","2.46","71,758,039,000","12,634,826,400,000"
000210,DL,"49,200","2,050","4.35","11,989,085,875","1,031,029,492,800"
375500,DL이앤씨,"49,450","-350","0.70","23,288,543,075","1,913,399,657,350"
007340,DN오토모티브,"32,800","800","2.50","13,956,183,075","1,919,156,372,000"
383220,F&F,"70,100","-1,800","2.50","7,496,639,150","2,685,325,957,500"
114090,GKL,"13,300","-190","1.41","3,575,469,055","822,680,411,000"
078930,GS,"71,000","800","1.14","17,513,753,750","6,596,991,838,000"
006360,GS건설,"21,950","250","1.15","30,580,960,800","1,878,513,705,500"
007070,GS리테일,"22,200","-200","0.89","3,431,071,975","1,856,084,613,000"
009540,HD한국조선해양,"397,500","500","0.13","72,445,757,750","28,132,313,610,000"
267250,HD현대,"256,000","-5,000","1.92","56,633,733,500","20,222,229,760,000"
443060,HD현대마린솔루션,"171,300","4,900","2.94","54,853,296,038","7,679,607,685,500"
071970,HD현대마린엔진,"82,700","-1,000","1.19","21,722,445,800","2,805,307,636,500"
267260,HD현대일렉트릭,"949,000","-17,000","1.76","107,427,258,500","34,208,731,115,000"
329180,HD현대중공업,"543,000","4,000","0.74","153,068,595,500","56,993,945,175,000"
204320,HL만도,"58,200","-2,500","4.12","28,604,899,950","2,732,904,384,000"
011200,HMM,"21,450","100","0.47","60,868,680,375","20,232,454,456,500"
298050,HS효성첨단소재,"257,000","-6,000","2.28","9,921,234,000","1,151,346,636,000"
175330,JB금융지주,"34,650","600","1.76","64,398,493,590","6,579,501,424,650"
105560,KB금융,"167,900","-600","0.36","297,495,498,115","62,601,591,394,500"
002380,KCC,"563,000","7,000","1.26","36,475,747,500","5,003,083,173,000"
030200,KT,"64,500","200","0.31","42,702,606,234","16,255,398,682,500"
033780,KT&G,"173,800","1,600","0.93","47,231,839,450","20,504,340,901,000"
003550,LG,"95,700","-500","0.52","28,751,912,900","14,759,005,684,500"
034220,LG디스플레이,"11,600","-310","2.60","38,699,402,005","5,800,000,000,000"
051900,LG생활건강,"276,500","500","0.18","19,859,367,750","4,231,129,913,500"
064400,LG씨엔에스,"71,100","-1,600","2.20","49,921,240,600","6,888,590,902,800"
373220,LG에너지솔루션,"395,000","-15,000","3.66","127,814,416,250","92,430,000,000,000"
032640,LG유플러스,"17,170","0","0.00","18,429,257,420","7,380,152,855,350"
011070,LG이노텍,"242,500","-11,000","4.34","53,565,200,500","5,739,273,447,500"
066570,LG전자,"117,200","-4,200","3.46","265,724,628,100","19,090,284,556,400"
051910,LG화학,"324,500","-12,000","3.57","127,004,700,750","22,907,215,303,500"
079550,LIG넥스원,"460,000","4,500","0.99","50,039,462,750","10,120,000,000,000"
006260,LS,"248,000","-2,500","1.00","60,964,643,000","7,861,600,000,000"
010120,LS ELECTRIC,"661,000","-10,000","1.49","98,525,263,000","19,830,000,000,000"
035420,NAVER,"252,500","-3,000","1.17","207,146,109,000","39,605,291,095,000"
005940,NH투자증권,"30,900","1,750","6.00","83,977,430,200","11,011,041,002,100"
010060,OCI홀딩스,"150,600","-5,000","3.21","29,475,644,400","2,811,736,939,200"
005490,POSCO홀딩스,"375,500","-7,500","1.96","188,127,768,000","30,390,323,476,000"
010950,S-Oil,"106,200","-1,800","1.67","16,378,060,150","11,956,292,510,400"
034730,SK,"349,500","7,000","2.04","131,795,781,500","25,339,694,698,500"
011790,SKC,"108,200","-1,500","1.37","23,561,597,750","4,097,349,843,600"
302440,SK바이오사이언스,"49,250","-1,450","2.86","6,280,298,700","3,862,909,024,250"
326030,SK바이오팜,"109,200","-4,200","3.70","41,270,898,200","8,551,806,900,000"
402340,SK스퀘어,"558,000","-12,000","2.11","260,925,471,500","73,704,610,170,000"
361610,SK아이이테크놀로지,"25,950","-1,400","5.12","6,324,313,700","2,122,375,245,000"
096770,SK이노베이션,"113,800","-2,500","2.15","42,293,885,950","19,238,207,274,400"
285130,SK케미칼,"63,000","-1,000","1.56","4,780,210,500","1,089,822,258,000"
017670,SK텔레콤,"86,500","8,500","10.90","354,701,925,550","18,579,339,584,500"
000660,SK하이닉스,"880,000","-8,000","0.90","3,142,574,568,416","640,642,081,200,000"
069260,TKG휴켐스,"19,880","360","1.84","2,731,956,645","812,666,329,440"
139130,iM금융지주,"20,800","550","2.72","29,978,468,500","3,340,991,326,400"
035250,강원랜드,"18,860","-140","0.74","9,525,299,810","4,034,917,830,000"
010130,고려아연,"1,670,000","-62,000","3.58","58,984,049,500","34,857,858,230,000"
011780,금호석유화학,"144,200","-2,800","1.90","13,043,911,050","3,753,777,196,400"
073240,금호타이어,"7,010","-90","1.27","4,664,266,660","2,013,694,611,870"
000270,기아,"164,100","-2,200","1.32","160,186,825,900","64,066,772,971,800"
024110,기업은행,"26,150","0","0.00","55,192,429,700","20,852,686,474,350"
251270,넷마블,"57,200","200","0.35","14,795,648,000","4,916,540,314,400"
006280,녹십자,"174,300","-6,000","3.33","10,151,798,700","2,036,963,573,400"
005250,녹십자홀딩스,"15,810","-120","0.75","1,686,958,405","743,516,000,100"
004370,농심,"450,500","-2,000","0.44","15,655,276,000","2,740,230,221,000"
001680,대상,"23,350","300","1.30","3,757,020,850","809,031,383,750"
047040,대우건설,"7,300","-400","5.19","146,595,466,950","3,034,045,257,400"
003090,대웅,"26,950","1,350","5.27","9,109,418,575","1,566,926,361,000"
069620,대웅제약,"169,500","-3,900","2.25","4,414,392,450","1,963,924,462,500"
006650,대한유화,"164,200","-4,300","2.55","4,623,669,250","1,067,300,000,000"
