date,금융투자_value_net,보험_value_net,투신_value_net,사모_value_net,은행_value_net,기타금융_value_net,연기금_value_net,기타법인_value_net,개인_value_net,외국인_value_net,기타외국인_value_net,전체_value_net,금융투자_value_buy,보험_value_buy,투신_value_buy,사모_value_buy,은행_value_buy,기타금융_value_buy,연기금_value_buy,기타법인_value_buy,개인_value_buy,외국인_value_buy,기타외국인_value_buy,전체_value_buy,금융투자_value_sell,보험_value_sell,투신_value_sell,사모_value_sell,은행_value_sell,기타금융_value_sell,연기금_value_sell,기타법인_value_sell,개인_value_sell,외국인_value_sell,기타외국인_value_sell,전체_value_sell,금융투자_vol_net,보험_vol_net,투신_vol_net,사모_vol_net,은행_vol_net,기타금융_vol_net,연기금_vol_net,기타법인_vol_net,개인_vol_net,외국인_vol_net,기타외국인_vol_net,전체_vol_net,금융투자_vol_buy,보험_vol_buy,투신_vol_buy,사모_vol_buy,은행_vol_buy,기타금융_vol_buy,연기금_vol_buy,기타법인_vol_buy,개인_vol_buy,외국인_vol_buy,기타외국인_vol_buy,전체_vol_buy,금융투자_vol_sell,보험_vol_sell,투신_vol_sell,사모_vol_sell,은행_vol_sell,기타금융_vol_sell,연기금_vol_sell,기타법인_vol_sell,개인_vol_sell,외국인_vol_sell,기타외국인_vol_sell,전체_vol_sell
2025-12-05,-1725315430,-101467025,-1214108940,-4439515588,-120077650,-1302392611,-1205180,-673993872,10023581032,-558387690,112882954,0,24855055,0,0,9383245,0,0,3753115,445268340,271464376786,6239450685,1307208068,279494295294,1750170485,101467025,1214108940,4448898833,120077650,1302392611,4958295,1119262212,261440795754,6797838375,1194325114,279494295294,-345664,-20520,-242013,-886790,-23955,-262788,-246,-134767,2001202,-106800,22341,0,4903,0,0,1886,0,0,881,90372,59131397,1362532,281043,60873014,350567,20520,242013,888676,23955,262788,1127,225139,57130195,1469332,258702,60873014
2025-12-08,-16148855,0,0,0,0,-4139900,0,-17392800,20092975,24255927,-6667347,0,0,0,0,0,0,0,0,36252765,15779902875,1318289967,59031989,17193477596,16148855,0,0,0,0,4139900,0,53645565,15759809900,1294034040,65699336,17193477596,-4803,0,0,0,0,-1210,0,-5676,11978,0,-289,0,0,0,0,0,0,0,0,10342,4971990,398244,20163,5400739,4803,0,0,0,0,1210,0,16018,4960012,398244,20452,5400739
2025-12-09,-18430,0,-462000,-2795000,0,0,0,-2175,-22062784,22538008,2802381,0,2270,0,0,0,0,0,0,0,4668588812,358743123,13009196,5040343401,20700,0,462000,2795000,0,0,0,2175,4690651596,336205115,10206815,5040343401,-9,0,-220,-1300,0,0,0,-1,-9539,9740,1329,0,1,0,0,0,0,0,0,0,2160307,161522,6123,2327953,10,0,220,1300,0,0,0,1,2169846,151782,4794,2327953
2025-12-10,0,0,0,4999425,0,0,0,0,-4005218,-4937817,3943610,0,0,0,0,4999425,0,0,0,0,1375966774,29218685,4355025,1414539909,0,0,0,0,0,0,0,0,1379971992,34156502,411415,1414539909,0,0,0,2481,0,0,0,0,-1966,-2475,1960,0,0,0,0,2481,0,0,0,0,683760,14491,2165,702897,0,0,0,0,0,0,0,0,685726,16966,205,702897
2025-12-11,340986950,0,29857700,25700210,0,0,0,0,-404989244,8326949,117435,0,340986950,0,29857700,25700210,0,0,0,0,289458858,31085995,2943795,720033508,0,0,0,0,0,0,0,0,694448102,22759046,2826360,720033508,169339,0,14748,12695,0,0,0,0,-200929,4093,54,0,169339,0,14748,12695,0,0,0,0,143352,15372,1453,356959,0,0,0,0,0,0,0,0,344281,11279,1399,356959
2025-12-12,100500000,0,8744833,50788230,0,0,0,0,-167425700,8896290,-1503653,0,100500000,0,8744833,50788230,0,0,0,0,472548560,11898575,355855,644836053,0,0,0,0,0,0,0,0,639974260,3002285,1859508,644836053,50000,0,4331,25174,0,0,0,0,-83174,4417,-748,0,50000,0,4331,25174,0,0,0,0,234470,5905,176,320056,0,0,0,0,0,0,0,0,317644,1488,924,320056
2025-12-15,1216000,0,67479127,162000635,0,0,0,0,-200298800,-3556462,-26840500,0,1216000,0,67479127,163899810,0,0,0,0,327070523,9990845,2909255,572565560,0,0,0,1899175,0,0,0,0,527369323,13547307,29749755,572565560,608,0,33599,80756,0,0,0,0,-99795,-1774,-13394,0,608,0,33599,81701,0,0,0,0,163076,4981,1451,285416,0,0,0,945,0,0,0,0,262871,6755,14845,285416
2025-12-16,138774000,0,24360750,81099430,0,0,0,0,-248646666,6825301,-2412815,0,138774000,0,24360750,81099430,0,0,0,0,333732575,14766230,6391025,599124010,0,0,0,0,0,0,0,0,582379241,7940929,8803840,599124010,69392,0,12150,40570,0,0,0,0,-124312,3410,-1210,0,69392,0,12150,40570,0,0,0,0,166775,7381,3192,299460,0,0,0,0,0,0,0,0,291087,3971,4402,299460
2025-12-17,115659044,0,0,61071967,0,0,0,0,-170875648,5483371,-11338734,0,115659044,0,0,61071967,0,0,0,0,207720313,19014548,0,403465872,0,0,0,0,0,0,0,0,378595961,13531177,11338734,403465872,57854,0,0,30543,0,0,0,0,-85463,2740,-5674,0,57854,0,0,30543,0,0,0,0,103860,9508,0,201765,0,0,0,0,0,0,0,0,189323,6768,5674,201765
2025-12-18,117627352,0,0,8918000,0,0,0,0,-128012117,1046715,420050,0,117627352,0,0,8918000,0,0,0,0,130846784,11671610,420050,269483796,0,0,0,0,0,0,0,0,258858901,10624895,0,269483796,58842,0,0,4459,0,0,0,0,-64017,506,210,0,58842,0,0,4459,0,0,0,0,65489,5826,210,134826,0,0,0,0,0,0,0,0,129506,5320,0,134826
