date,금융투자_value_net,보험_value_net,투신_value_net,사모_value_net,은행_value_net,기타금융_value_net,연기금_value_net,기타법인_value_net,개인_value_net,외국인_value_net,기타외국인_value_net,전체_value_net,금융투자_value_buy,보험_value_buy,투신_value_buy,사모_value_buy,은행_value_buy,기타금융_value_buy,연기금_value_buy,기타법인_value_buy,개인_value_buy,외국인_value_buy,기타외국인_value_buy,전체_value_buy,금융투자_value_sell,보험_value_sell,투신_value_sell,사모_value_sell,은행_value_sell,기타금융_value_sell,연기금_value_sell,기타법인_value_sell,개인_value_sell,외국인_value_sell,기타외국인_value_sell,전체_value_sell,금융투자_vol_net,보험_vol_net,투신_vol_net,사모_vol_net,은행_vol_net,기타금융_vol_net,연기금_vol_net,기타법인_vol_net,개인_vol_net,외국인_vol_net,기타외국인_vol_net,전체_vol_net,금융투자_vol_buy,보험_vol_buy,투신_vol_buy,사모_vol_buy,은행_vol_buy,기타금융_vol_buy,연기금_vol_buy,기타법인_vol_buy,개인_vol_buy,외국인_vol_buy,기타외국인_vol_buy,전체_vol_buy,금융투자_vol_sell,보험_vol_sell,투신_vol_sell,사모_vol_sell,은행_vol_sell,기타금융_vol_sell,연기금_vol_sell,기타법인_vol_sell,개인_vol_sell,외국인_vol_sell,기타외국인_vol_sell,전체_vol_sell
2015-01-02,-2413552600,-45681450,1532016600,446483750,0,0,109896550,0,-171818000,542655150,0,0,0,5430150,1605535450,446483750,0,0,130144300,0,2857229700,629564200,0,5674387550,2413552600,51111600,73518850,0,0,0,20247750,0,3029047700,86909050,0,5674387550,-66725,-1231,42380,12249,0,0,3015,0,-4546,14858,0,0,0,148,44402,12249,0,0,3561,0,78326,17224,0,155910,66725,1379,2022,0,0,0,546,0,82872,2366,0,155910
2015-01-05,-1583763500,126673850,735154450,-116354650,-251640000,-18045900,850391600,0,-907339850,1164924000,0,0,580507850,136870800,1110263800,81299950,0,0,886950650,0,2655495650,1430863650,0,6882252350,2164271350,10196950,375109350,197654600,251640000,18045900,36559050,0,3562835500,265939650,0,6882252350,-44446,3537,20524,-3278,-7000,-500,23563,0,-24922,32522,0,0,16243,3820,30952,2254,0,0,24577,0,74762,40004,0,192612,60689,283,10428,5532,7000,500,1014,0,99684,7482,0,192612
2015-01-06,-4047755700,140329700,2925724050,-6532200,0,0,1583972250,-399850,-1204521500,609183250,0,0,289233400,140329700,3077713000,354227550,0,0,1588698550,0,1770168700,1110316300,0,8330687200,4336989100,0,151988950,360759750,0,0,4726300,399850,2974690200,501133050,0,8330687200,-112712,3919,81573,-145,0,0,43943,-11,-33497,16930,0,0,8060,3919,85800,9862,0,0,44074,0,49099,30839,0,231653,120772,0,4227,10007,0,0,131,11,82596,13909,0,231653
2015-01-07,-45666350,154547250,1013676200,-162191550,0,-73354150,46733600,-219148450,-988829750,274233200,0,0,784561850,158361750,1070499950,0,0,0,52569600,403250,1834196850,624896700,0,4525489950,830228200,3814500,56823750,162191550,0,73354150,5836000,219551700,2823026600,350663500,0,4525489950,-1162,4179,27652,-4413,0,-2000,1286,-5934,-27053,7445,0,0,21412,4283,29201,0,0,0,1445,11,49920,17017,0,123289,22574,104,1549,4413,0,2000,159,5945,76973,9572,0,123289
2015-01-08,-1238231050,0,-70960300,-122742400,0,-18000000,1095981450,0,473023850,-119071550,0,0,38622950,0,39604100,0,0,18100000,1095981450,0,1413768000,237313500,0,2843390000,1276854000,0,110564400,122742400,0,36100000,0,0,940744150,356385050,0,2843390000,-34473,0,-1956,-3400,0,-500,30365,0,13245,-3281,0,0,1066,0,1096,0,0,500,30365,0,39259,6571,0,78857,35539,0,3052,3400,0,1000,0,0,26014,9852,0,78857
2015-01-09,-899637900,192586850,1124198250,-361563900,0,0,459252200,-1300,-245892300,-268941900,0,0,369582400,194701550,1948664600,0,0,0,466565250,71200,2796886150,196718950,0,5973190100,1269220300,2114700,824466350,361563900,0,0,7313050,72500,3042778450,465660850,0,5973190100,-25194,5280,31094,-10100,0,0,12796,0,-6403,-7473,0,0,10251,5339,54124,0,0,0,13000,2,78271,5492,0,166479,35445,59,23030,10100,0,0,204,2,84674,12965,0,166479
2015-01-12,-437529400,-126103800,-520086200,-453849400,14815250,0,836089650,3244500,592363950,91055450,0,0,3592250,0,30887200,0,14815250,0,894709150,3244500,1490326750,217848000,0,2655423100,441121650,126103800,550973400,453849400,0,0,58619500,0,897962800,126792550,0,2655423100,-12275,-3515,-14508,-12688,411,0,23410,90,16556,2519,0,0,100,0,860,0,411,0,25046,90,41669,6074,0,74250,12375,3515,15368,12688,0,0,1636,0,25113,3555,0,74250
2015-01-13,-1096501950,-124424250,1594119100,-16215700,-475664050,0,-39415650,-401544150,-369487750,929134400,0,0,219905200,811500,1980173150,0,0,0,119332050,0,1394171750,1194286400,0,4908680050,1316407150,125235750,386054050,16215700,475664050,0,158747700,401544150,1763659500,265152000,0,4908680050,-31115,-3529,45214,-460,-13492,0,-1125,-11377,-10437,26321,0,0,6244,23,56154,0,0,0,3382,0,39559,33810,0,139172,37359,3552,10940,460,13492,0,4507,11377,49996,7489,0,139172
2015-01-14,559717350,-224750000,1573865250,-204410850,0,1073600000,-1249595450,-717458650,-1250612200,439644550,0,0,1641416000,0,2073502650,0,0,1073600000,638063050,0,2875008100,854293350,0,9155883150,1081698650,224750000,499637400,204410850,0,0,1887658500,717458650,4125620300,414648800,0,9155883150,15857,-6399,44928,-5823,0,30500,-36016,-20487,-35339,12779,0,0,46835,0,59247,0,0,30500,18206,0,83319,24635,0,262742,30978,6399,14319,5823,0,0,54222,20487,118658,11856,0,262742
2015-01-15,-1336284600,-224201550,-1458033350,-651454000,0,333840000,-1947258150,-272220050,6093560350,-537982250,33600,0,106639050,40560300,213865850,0,0,333840000,1141622300,20961900,11145027000,797094950,33600,13799644950,1442923650,264761850,1671899200,651454000,0,0,3088880450,293181950,5051466650,1335077200,0,13799644950,-40148,-6802,-43872,-19337,0,10400,-57835,-8271,181860,-15996,1,0,3140,1231,6394,0,0,10400,34258,635,334867,23906,1,414832,43288,8033,50266,19337,0,0,92093,8906,153007,39902,0,414832
