date,open,high,low,close,volume,등락률
2025-12-05,4915,5700,3320,3840,60873014,
2025-12-08,3660,4180,2690,2690,5400739,-29.947916666666668
2025-12-09,2525,2555,2045,2045,2327953,-23.977695167286246
2025-12-10,2020,2035,2005,2010,702897,-1.7114914425427872
2025-12-11,2015,2040,2010,2025,356959,0.7462686567164178
2025-12-12,2010,2035,2010,2015,320056,-0.49382716049382713
2025-12-15,2010,2015,2000,2005,285416,-0.49627791563275436
2025-12-16,2005,2010,1999,1999,299460,-0.29925187032418954
2025-12-17,1999,2005,1996,2000,201765,0.05002501250625312
2025-12-18,1999,2005,1995,2000,134826,0.0
2025-12-19,2000,2015,1998,2005,89275,0.25
2025-12-22,2005,2010,1999,2000,413897,-0.24937655860349126
2025-12-23,2000,2005,1996,1996,345334,-0.2
2025-12-24,1996,2005,1995,1999,134367,0.15030060120240482
2025-12-26,1997,2000,1997,1999,113791,0.0
2025-12-29,1999,2000,1998,1998,70446,-0.05002501250625312
2025-12-30,1998,2005,1997,1997,64165,-0.050050050050050046
2026-01-02,1999,2005,1997,1999,84646,0.10015022533800699
2026-01-05,2000,2025,2000,2000,88513,0.05002501250625312
2026-01-06,2005,2020,1999,2000,216072,0.0
2026-01-07,2010,2020,2000,2010,77780,0.5
2026-01-08,2010,2015,2000,2005,94783,-0.24875621890547264
2026-01-09,2005,2005,2000,2000,25439,-0.24937655860349126
2026-01-12,2000,2010,1997,2000,98047,0.0
2026-01-13,2005,2005,1998,1998,46416,-0.1
2026-01-14,2000,2000,1997,1999,56569,0.050050050050050046
2026-01-15,2000,2005,1998,2000,36473,0.05002501250625312
2026-01-16,2000,2005,1998,2000,44405,0.0
2026-01-19,2000,2005,1998,1998,61941,-0.1
2026-01-20,1998,2000,1998,1998,89934,0.0
2026-01-21,1998,1999,1996,1998,75090,0.0
2026-01-22,1998,2000,1996,1999,100728,0.050050050050050046
2026-01-23,1998,2010,1998,2005,55072,0.3001500750375188
2026-01-26,2000,2020,2000,2010,70125,0.24937655860349126
2026-01-27,2010,2010,2000,2000,29907,-0.4975124378109453
2026-01-28,2005,2015,2000,2010,19237,0.5
2026-01-29,2005,2010,2000,2005,17553,-0.24875621890547264
2026-01-30,2005,2040,2005,2015,129019,0.4987531172069825
2026-02-02,2015,2050,2015,2040,85453,1.240694789081886
2026-02-03,2040,2065,2015,2050,45340,0.49019607843137253
2026-02-04,2055,2070,2045,2060,39262,0.4878048780487805
2026-02-05,2050,2070,2050,2060,13391,0.0
2026-02-06,2060,2085,2055,2080,22944,0.9708737864077669
2026-02-09,2070,2140,2055,2095,46403,0.7211538461538461
2026-02-10,2085,2085,2070,2085,5232,-0.47732696897374705
2026-02-11,2075,2095,2075,2090,35450,0.2398081534772182
2026-02-12,2090,2090,2080,2090,4065,0.0
2026-02-13,2075,2090,2075,2075,4142,-0.7177033492822966
2026-02-19,2085,2090,2075,2085,23579,0.48192771084337355
2026-02-20,2085,2095,2080,2095,30884,0.4796163069544364
