date,open,high,low,close,volume,등락률
2020-01-02,8750,9180,8680,9120,242812,4.707233065442021
2020-01-03,9340,9520,9140,9210,350412,0.9868421052631579
2020-01-06,9050,9190,8920,8950,127499,-2.823018458197611
2020-01-07,9050,9070,8890,8940,69895,-0.11173184357541899
2020-01-08,8790,8810,8390,8470,153360,-5.257270693512305
2020-01-09,8620,9090,8620,9050,110275,6.8476977567886665
2020-01-10,9140,9200,8930,9050,77244,0.0
2020-01-13,9100,9110,8900,9050,90568,0.0
2020-01-14,9190,9380,9050,9240,277398,2.0994475138121547
2020-01-15,9550,11800,9550,11350,9709277,22.835497835497836
2020-01-16,11400,11550,10850,11050,2205267,-2.643171806167401
2020-01-17,11000,11250,10550,10950,1488037,-0.904977375565611
2020-01-20,10800,11100,10800,10850,855422,-0.91324200913242
2020-01-21,10650,10950,10300,10300,679891,-5.0691244239631335
2020-01-22,10400,10650,10300,10500,450269,1.9417475728155338
2020-01-23,10600,10950,10350,10500,691460,0.0
2020-01-28,9900,10100,9820,10050,419482,-4.285714285714286
2020-01-29,10200,11200,9950,10350,3252792,2.9850746268656714
2020-01-30,10550,10600,10050,10100,664581,-2.4154589371980677
2020-01-31,9980,10400,9600,9620,531361,-4.752475247524752
2020-02-03,9380,9960,9080,9840,564120,2.2869022869022873
2020-02-04,9810,10300,9800,10050,430397,2.1341463414634148
2020-02-05,10100,10300,10000,10000,197496,-0.4975124378109453
2020-02-06,10200,10550,10100,10200,484709,2.0
2020-02-07,10300,10900,10100,10200,1192832,0.0
2020-02-10,10100,10550,9950,10300,464181,0.9803921568627451
2020-02-11,10300,10550,10250,10450,314128,1.4563106796116505
2020-02-12,10450,11000,10450,10800,1097397,3.349282296650718
2020-02-13,10950,11100,10600,10700,538184,-0.9259259259259258
2020-02-14,10700,10850,10600,10650,206625,-0.46728971962616817
2020-02-17,10650,10750,10450,10650,186511,0.0
2020-02-18,10600,10700,10200,10450,220854,-1.8779342723004695
2020-02-19,10450,10750,10100,10300,241533,-1.4354066985645932
2020-02-20,10400,10450,10000,10100,183763,-1.9417475728155338
2020-02-21,9870,10200,9850,9960,156367,-1.3861386138613863
2020-02-24,9620,9700,9230,9300,276030,-6.626506024096386
2020-02-25,9200,9700,9150,9700,175858,4.301075268817205
2020-02-26,9480,9640,9340,9500,124355,-2.0618556701030926
2020-02-27,9510,9640,8580,9010,165569,-5.157894736842105
2020-02-28,8960,8960,8400,8500,208004,-5.660377358490567
2020-03-02,8490,8980,8390,8980,132933,5.647058823529412
2020-03-03,9280,9300,8950,8980,132027,0.0
2020-03-04,8850,9250,8550,9250,99124,3.0066815144766146
2020-03-05,9300,9460,9220,9350,74714,1.0810810810810811
2020-03-06,9200,9420,9050,9100,113585,-2.6737967914438503
2020-03-09,8910,9000,8390,8570,161290,-5.824175824175824
2020-03-10,8340,8730,8180,8670,163046,1.1668611435239207
2020-03-11,8700,8790,8010,8250,135501,-4.844290657439446
2020-03-12,8000,8160,7020,7330,267034,-11.15151515151515
2020-03-13,6280,6880,5970,6470,317730,-11.732605729877218
2020-03-16,6470,7000,6020,6020,217501,-6.9551777434312205
2020-03-17,5500,6290,5500,6060,282733,0.6644518272425249
2020-03-18,6230,6480,5620,5620,253144,-7.2607260726072615
2020-03-19,5750,5880,4340,4490,348157,-20.106761565836297
2020-03-20,4500,4960,4500,4960,277625,10.46770601336303
2020-03-23,4560,4765,4300,4620,179684,-6.854838709677419
2020-03-24,4850,5200,4740,5140,268113,11.255411255411255
2020-03-25,5390,5800,5270,5650,307523,9.922178988326849
2020-03-26,5770,6070,5510,5900,302238,4.424778761061947
2020-03-27,6200,6270,5590,6000,237420,1.694915254237288
2020-03-30,5710,6340,5580,6200,322117,3.3333333333333335
