date,usdkrw
2016-10-10,1249.14
2016-10-11,1237.88
2016-10-12,1235.57
2016-10-13,1237.03
2016-10-14,1249.88
2016-10-17,1242.96
2016-10-18,1254.56
2016-10-19,1242.81
2016-10-20,1232.61
2016-10-21,1228.19
2016-10-24,1234.22
2016-10-25,1233.43
2016-10-26,1237.53
2016-10-27,1235.39
2016-10-28,1242.36
2016-10-31,1257.14
2016-11-01,1255.8
2016-11-02,1262.37
2016-11-03,1274.65
2016-11-04,1266.58
2016-11-07,1267.8
2016-11-08,1261.07
2016-11-09,1251.88
2016-11-10,1250.81
2016-11-11,1253.09
2016-11-14,1262.03
2016-11-15,1256.89
2016-11-16,1253.6
2016-11-17,1249.55
2016-11-18,1247.86
2016-11-21,1251.64
2016-11-22,1257.93
2016-11-23,1249.26
2016-11-24,1239.11
2016-11-25,1248.56
2016-11-28,1249.52
2016-11-29,1242.39
2016-11-30,1244.34
2016-12-01,1237.67
2016-12-02,1250.05
2016-12-05,1233.47
2016-12-06,1262.89
2016-12-07,1253.65
2016-12-08,1257.98
2016-12-09,1230.38
2016-12-12,1229.82
2016-12-13,1244.98
2016-12-14,1238.69
2016-12-15,1228.35
2016-12-16,1229.66
2016-12-19,1237.01
2016-12-20,1234.03
2016-12-21,1238.19
2016-12-22,1245.61
2016-12-23,1249.99
2016-12-26,1257.99
2016-12-27,1254.09
2016-12-28,1260.74
2016-12-29,1258.44
2016-12-30,1267.6
2017-01-02,1272.37
2017-01-03,1263.48
2017-01-04,1256.74
2017-01-05,1265.65
2017-01-06,1263.99
2017-01-09,1252.12
2017-01-10,1276.38
2017-01-11,1265.11
2017-01-12,1266.03
2017-01-13,1255.36
2017-01-16,1252.31
2017-01-17,1251.51
2017-01-18,1264.92
2017-01-19,1239.67
2017-01-20,1254.79
2017-01-23,1255.57
2017-01-24,1256.65
2017-01-25,1248.6
2017-01-26,1253.49
2017-01-31,1239.48
2017-02-01,1259.21
2017-02-02,1243.75
2017-02-03,1236.71
2017-02-06,1236.77
2017-02-07,1222.74
2017-02-08,1219.71
2017-02-09,1224.95
2017-02-10,1220.8
2017-02-13,1223.71
2017-02-14,1220.27
2017-02-15,1210.59
2017-02-16,1209.81
2017-02-17,1215.55
2017-02-20,1216.25
2017-02-21,1218.01
2017-02-22,1208.27
2017-02-23,1204.22
2017-02-24,1205.14
2017-02-27,1194.28
2017-02-28,1198.55
2017-03-02,1193.73
