date,ticker,name,market,pension_value_net,fininv_value_net,pension_vol_net,fininv_vol_net,pension_value_buy,pension_value_sell,fininv_value_buy,fininv_value_sell,pension_vol_buy,pension_vol_sell,fininv_vol_buy,fininv_vol_sell,pension_value_net_3d_sum,pension_value_net_5d_sum,pension_value_net_10d_sum,pension_value_net_20d_sum,fininv_value_net_3d_sum,fininv_value_net_5d_sum,fininv_value_net_10d_sum,fininv_value_net_20d_sum,pension_vol_net_3d_sum,pension_vol_net_5d_sum,pension_vol_net_10d_sum,pension_vol_net_20d_sum,fininv_vol_net_3d_sum,fininv_vol_net_5d_sum,fininv_vol_net_10d_sum,fininv_vol_net_20d_sum
2025-12-22,001550,조비,KOSPI,0,-103820,0,-9,0,0,11580,115400,0,0,1,10,0.0,0.0,0.0,0.0,-206750.0,32170.0,940870.0,694480.0,0.0,0.0,0.0,0.0,-18.0,3.0,82.0,60.0
2025-12-22,002220,한일철강,KOSPI,0,-269790,0,-51,0,0,0,269790,0,0,0,51,0.0,0.0,451886.0,451886.0,-508590.0,2705455.0,2012310.0,1376105.0,0.0,0.0,102.0,102.0,-98.0,541.0,398.0,248.0
2025-12-22,002240,고려제강,KOSPI,0,-5305050,0,-259,0,0,61150,5366200,0,0,3,262,52638825.0,197690650.0,368707790.0,359213160.0,-6272620.0,-3718845.0,-11629425.0,-15974860.0,2584.0,9648.0,18093.0,17580.0,-307.0,-181.0,-568.0,-796.0
2025-12-22,003220,대원제약,KOSPI,0,649370,0,53,0,0,1766650,1117280,0,0,144,91,5921560.0,5921560.0,25678610.0,17544400.0,4512515.0,11323215.0,17993785.0,21414865.0,484.0,484.0,2043.0,1388.0,369.0,921.0,1456.0,1733.0
2025-12-22,0054V0,엔에이치스팩32호,KOSDAQ,0,129070000,0,64500,0,0,129070000,0,0,0,64500,0,0.0,0.0,0.0,-1205180.0,322366412.0,576799456.0,1019483976.0,-721980309.0,0.0,0.0,0.0,-246.0,161154.0,288400.0,508338.0,157871.0
2025-12-22,005740,크라운해태홀딩스,KOSPI,0,-127800,0,-18,0,0,0,127800,0,0,0,18,0.0,0.0,0.0,0.0,-249090.0,1869590.0,25604250.0,38066680.0,0.0,0.0,0.0,0.0,-35.0,262.0,3764.0,5585.0
2025-12-22,006805,미래에셋증권우,KOSPI,-18639825,-107390380,-1579,-9268,0,18639825,265366310,372756690,0,1579,22058,31326,-18639825.0,60030085.0,78692485.0,78692485.0,231680820.0,85720050.0,181166735.0,29100325.0,-1579.0,5566.0,7257.0,7257.0,20263.0,6763.0,15386.0,416.0
2025-12-22,007340,DN오토모티브,KOSPI,0,284989650,0,10921,0,0,364542175,79552525,0,0,13998,3077,447882600.0,1241250400.0,3134742850.0,4498266800.0,341113825.0,698944375.0,-769753500.0,-1352860075.0,17090.0,45491.0,112777.0,158170.0,12975.0,25916.0,-26741.0,-49162.0
2025-12-22,007770,한일화학,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,009470,삼화전기,KOSPI,13647825,-333800,454,-11,13647825,0,30150,363950,454,0,1,12,17755450.0,-21369800.0,-1612145150.0,-1611591600.0,-34737700.0,-32871000.0,270700.0,-593400.0,598.0,-766.0,-55750.0,-55731.0,-1227.0,-1162.0,-109.0,-138.0
2025-12-22,010950,S-Oil,KOSPI,3979879750,1268200300,47271,15186,4716550850,736671100,2279453400,1011253100,56062,8791,27251,12065,8108047100.0,13648659900.0,23061831300.0,16943764550.0,126081200.0,-1124081000.0,-3146257000.0,6257685000.0,98144.0,163842.0,275533.0,195348.0,1152.0,-13640.0,-38522.0,81495.0
2025-12-22,012170,아센디오,KOSPI,0,-17520,0,-10,0,0,0,17520,0,0,0,10,0.0,0.0,0.0,0.0,-34939.0,-22788.0,-24480.0,-6615.0,0.0,0.0,0.0,0.0,-20.0,-13.0,-14.0,-3.0
2025-12-22,012280,영화금속,KOSPI,0,-29870,0,-42,0,0,9838362,9868232,0,0,10015,10057,0.0,0.0,0.0,0.0,877687.0,3419939.0,3749878.0,1533821.0,0.0,0.0,0.0,0.0,908.0,3625.0,4012.0,1485.0
2025-12-22,017670,SK텔레콤,KOSPI,561577150,3428163250,10711,64976,1431552050,869974900,4516569750,1088406500,27124,16413,85517,20541,1178869750.0,9072012550.0,14908058550.0,20582216950.0,4799775850.0,16110891750.0,19088174150.0,42047770900.0,22416.0,170686.0,278740.0,383290.0,90670.0,303591.0,358140.0,784206.0
2025-12-22,018250,애경산업,KOSPI,0,14878010,0,1085,0,0,46845230,31967220,0,0,3424,2339,7731250.0,7731250.0,-117821835.0,-711384980.0,70622280.0,64780380.0,65786440.0,46309790.0,568.0,568.0,-8698.0,-52119.0,5159.0,4732.0,4799.0,3398.0
2025-12-22,020180,대신정보통신,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,021650,한국큐빅,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,024830,세원물산,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,210.0,210.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,025770,한국정보통신,KOSDAQ,-30158130,-195280,-3871,-25,0,30158130,101240,296520,0,3871,13,38,-77690210.0,-128406780.0,-255647065.0,-439261855.0,38556640.0,38558760.0,38577110.0,46308860.0,-10000.0,-16434.0,-32286.0,-55286.0,4975.0,4975.0,4977.0,5932.0
2025-12-22,028050,삼성E&A,KOSPI,-648416525,1872666325,-26029,74518,1096392250,1744808775,2605996125,733329800,43503,69532,103627,29109,-1827478150.0,-2387550525.0,-10099867600.0,-20246805550.0,3253953200.0,3283308800.0,3779112300.0,10947465000.0,-73860.0,-96618.0,-411133.0,-810886.0,129813.0,130936.0,149447.0,429350.0
2025-12-22,028080,휴맥스홀딩스,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,029480,광무,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,031440,신세계푸드,KOSPI,-145703250,1052750,-3045,22,0,145703250,1148400,95650,0,3045,24,2,-273654625.0,-321624625.0,118564875.0,111209875.0,3627358400.0,3760739950.0,11825651025.0,11828687525.0,-5720.0,-6720.0,2221.0,2040.0,75884.0,78714.0,247493.0,247471.0
2025-12-22,033230,인성정보,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,034230,파라다이스,KOSPI,-115136360,30907260,-6919,1929,98497470,213633830,400693115,369785855,5809,12728,23835,21906,1011011430.0,-1435557375.0,2221593685.0,9449675375.0,-8565590.0,79286225.0,-2017152110.0,971478965.0,61203.0,-89498.0,113504.0,512589.0,-478.0,4311.0,-112945.0,56688.0
2025-12-22,034950,한국기업평가,KOSDAQ,0,14867800,0,149,0,0,24656000,9788200,0,0,247,98,0.0,0.0,-136612800.0,-464586900.0,10549300.0,6640300.0,206706668.0,635039318.0,0.0,0.0,-1385.0,-4722.0,106.0,67.0,2074.0,6406.0
2025-12-22,035250,강원랜드,KOSPI,20759970,1138470365,1109,61129,22632865,1872895,1488108790,349638425,1209,100,79836,18707,-123215980.0,380843315.0,935451850.0,88828855.0,1924780415.0,-1191390680.0,587878740.0,4311792035.0,-6782.0,20158.0,51222.0,4380.0,103606.0,-63660.0,35276.0,242598.0
2025-12-22,036570,엔씨소프트,KOSPI,1060554950,2551662650,5332,12916,1635694200,575139250,3029345850,477683200,8244,2912,15331,2415,-2442083300.0,-1885941300.0,-2349791050.0,-1484098000.0,5389065400.0,8497439600.0,9331853850.0,17619640850.0,-12549.0,-9701.0,-12118.0,-8212.0,27418.0,43199.0,47055.0,83741.0
2025-12-22,036810,에프에스티,KOSDAQ,184984400,220261850,5364,6472,184984400,0,292411050,72149200,5364,0,8611,2139,64204750.0,64204750.0,-252512225.0,-846276825.0,475451600.0,741754175.0,509132906.0,2358185156.0,1228.0,1228.0,-10645.0,-31396.0,14889.0,24741.0,16125.0,80638.0
2025-12-22,038620,위즈코프,KOSDAQ,0,-11374789,0,-18659,0,0,5627331,17002120,0,0,9245,27904,0.0,0.0,0.0,0.0,-88218219.0,-133726723.0,-18630524.0,9238753.0,0.0,0.0,0.0,0.0,-148128.0,-223860.0,-37600.0,11983.0
2025-12-22,038880,아이에이,KOSDAQ,0,11067008,0,70370,0,0,31849739,20782731,0,0,201079,130709,0.0,0.0,0.0,0.0,7529856.0,3097020.0,-14546042.0,-10860202.0,0.0,0.0,0.0,0.0,48734.0,22848.0,-81331.0,-52134.0
2025-12-22,042500,링네트,KOSDAQ,0,-261625,0,-65,0,0,8060,269685,0,0,2,67,0.0,0.0,0.0,0.0,-273630.0,-201750.0,-349665.0,-1183165.0,0.0,0.0,0.0,0.0,-68.0,-50.0,-87.0,-298.0
2025-12-22,044180,KD,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,046310,백금T&A,KOSDAQ,0,4477765,0,1394,0,0,33787795,29310030,0,0,9993,8599,0.0,0.0,0.0,0.0,-24435475.0,-39197510.0,-151848905.0,11729171.0,0.0,0.0,0.0,0.0,-7277.0,-11672.0,-45492.0,5250.0
2025-12-22,056190,에스에프에이,KOSDAQ,0,47212800,0,1954,0,0,138084750,90871950,0,0,5765,3811,-449127200.0,-1187650075.0,-1465506225.0,-1909610775.0,191314225.0,577714825.0,670436755.0,2509852355.0,-19106.0,-50362.0,-61993.0,-80676.0,7994.0,24359.0,28223.0,108033.0
2025-12-22,060590,씨티씨바이오,KOSDAQ,0,-2020,0,0,0,0,6014700,6016720,0,0,1195,1195,0.0,0.0,0.0,0.0,-5430.0,-8950.0,-755.0,22365.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0
2025-12-22,064960,SNT모티브,KOSPI,195884500,-42936150,5582,-1221,220005200,24120700,80823150,123759300,6273,691,2322,3543,570217100.0,871960250.0,1677401575.0,6186810675.0,-24100300.0,229959000.0,101320350.0,-1796842825.0,16614.0,25482.0,47864.0,172747.0,-654.0,6876.0,3205.0,-50978.0
2025-12-22,066130,하츠,KOSDAQ,0,10,0,0,0,0,4520,4510,0,0,1,1,0.0,0.0,0.0,0.0,4984115.0,7607820.0,9572180.0,7506815.0,0.0,0.0,0.0,0.0,1112.0,1703.0,2164.0,1760.0
2025-12-22,070300,엑스큐어,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-12-22,071055,한국금융지주우,KOSPI,-11004800,-17314100,-90,-144,0,11004800,152383600,169697700,0,90,1237,1381,-11004800.0,19960700.0,176495550.0,240663500.0,-205069200.0,-172115250.0,-129835150.0,247555450.0,-90.0,152.0,1382.0,1881.0,-1694.0,-1420.0,-1102.0,2095.0
2025-12-22,078600,대주전자재료,KOSDAQ,-344811500,216813950,-5099,3206,0,344811500,257001650,40187700,0,5099,3800,594,-1936355900.0,-2967732050.0,-2052210200.0,-676557900.0,1582177150.0,2460494150.0,2161749272.0,7242871272.0,-29217.0,-43628.0,-31891.0,-14244.0,23639.0,36080.0,32088.0,100723.0
2025-12-22,078890,가온그룹,KOSDAQ,0,6150,0,1,0,0,6150,0,0,0,1,0,0.0,0.0,0.0,0.0,1135.0,1125.0,980.0,10325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2025-12-22,079000,와토스코리아,KOSDAQ,0,-2790,0,0,0,0,2098170,2100960,0,0,342,342,0.0,0.0,0.0,0.0,49938500.0,62341120.0,124629450.0,210558670.0,0.0,0.0,0.0,0.0,8225.0,10309.0,20907.0,36474.0
2025-12-22,079430,현대리바트,KOSPI,0,-240460,0,-38,0,0,19060,259520,0,0,3,41,0.0,0.0,801610.0,801610.0,-397620.0,272830.0,-31535.0,-40581340.0,0.0,0.0,129.0,129.0,-63.0,42.0,-6.0,-6537.0
2025-12-22,080220,제주반도체,KOSDAQ,0,367598170,0,19205,0,0,448844620,81246450,0,0,23496,4291,12777420.0,2143655.0,-13617740.0,35368585.0,1274574920.0,2178513710.0,2994963627.0,5998371947.0,692.0,113.0,-703.0,2360.0,68352.0,117492.0,160789.0,318637.0
2025-12-22,081660,미스토홀딩스,KOSPI,-15403925,613038300,-352,13926,0,15403925,959264500,346226200,0,352,21813,7887,232355200.0,1865971500.0,1610685525.0,4031451475.0,1211917850.0,1783104400.0,-349092025.0,1552979600.0,5117.0,41053.0,35067.0,89876.0,27300.0,40309.0,-9192.0,33908.0
2025-12-22,083450,GST,KOSDAQ,-12236200,-20854900,-490,-838,0,12236200,43379900,64234800,0,490,1730,2568,-12236200.0,-12236200.0,239951425.0,238486250.0,-368157750.0,-264335875.0,-261961500.0,-343553550.0,-490.0,-490.0,9273.0,9215.0,-15440.0,-11019.0,-10936.0,-14218.0
2025-12-22,083500,에프엔에스테크,KOSDAQ,0,-195230400,0,-13357,0,0,0,195230400,0,0,0,13357,0.0,0.0,0.0,0.0,353649340.0,375609500.0,654339180.0,1523906210.0,0.0,0.0,0.0,0.0,24644.0,26143.0,45229.0,100417.0
2025-12-22,084730,팅크웨어,KOSDAQ,0,-820640,0,-99,0,0,7260860,8081500,0,0,904,1003,0.0,0.0,0.0,0.0,37209130.0,1396080.0,20318750.0,48770240.0,0.0,0.0,0.0,0.0,4671.0,169.0,2551.0,6363.0
2025-12-22,088800,에이스테크,KOSDAQ,0,-12350,0,-4,0,0,3090,15440,0,0,1,5,0.0,0.0,0.0,0.0,-15200.0,-69700.0,-11184535.0,-11174585.0,0.0,0.0,0.0,0.0,-5.0,-23.0,-3649.0,-3646.0
2025-12-22,088980,맥쿼리인프라,KOSPI,0,749673015,0,64674,0,0,2533191985,1783518970,0,0,218961,154287,61878105.0,903811115.0,2068089050.0,3119003050.0,2599332765.0,4008538780.0,8412538435.0,15633655805.0,5316.0,77535.0,177132.0,267240.0,223979.0,345069.0,723319.0,1346065.0
2025-12-22,090430,아모레퍼시픽,KOSPI,-813094600,2749764300,-6701,22578,1530695400,2343790000,3895992550,1146228250,12570,19271,31996,9418,1264484850.0,739903350.0,950273300.0,5664624750.0,1781049350.0,1614835950.0,2971787900.0,1323161050.0,10410.0,5742.0,7273.0,44018.0,14480.0,13079.0,24136.0,11348.0
2025-12-22,091120,이엠텍,KOSDAQ,0,8410,0,1,0,0,58170,49760,0,0,7,6,0.0,-95467930.0,-335658465.0,-363913985.0,41060.0,72980.0,231303652.0,747021622.0,0.0,-12000.0,-42428.0,-45883.0,5.0,9.0,28202.0,90297.0
2025-12-22,092440,기신정기,KOSPI,0,-4341540,0,-1881,0,0,1912150,6253690,0,0,835,2716,0.0,0.0,0.0,0.0,-12037230.0,-9243545.0,-9107240.0,-17967905.0,0.0,0.0,0.0,0.0,-5238.0,-4016.0,-3948.0,-7826.0
2025-12-22,094360,칩스앤미디어,KOSDAQ,0,-262160,0,-15,0,0,211000,473160,0,0,12,27,0.0,0.0,-345793570.0,-314013290.0,-347349270.0,-374116860.0,117278165.0,1046658380.0,0.0,0.0,-18283.0,-16303.0,-20508.0,-22039.0,3668.0,61669.0
2025-12-22,098120,마이크로컨텍솔,KOSDAQ,0,20,0,0,0,0,18600,18580,0,0,1,1,0.0,0.0,0.0,0.0,600.0,18070.0,18940.0,17950.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2025-12-22,100120,뷰웍스,KOSDAQ,0,11332850,0,561,0,0,78310100,66977250,0,0,3858,3297,-219940050.0,-219940050.0,-443464650.0,-1630383375.0,59132505.0,22587365.0,-16078605.0,51482680.0,-11000.0,-11000.0,-22000.0,-80470.0,2948.0,1123.0,-768.0,2607.0
2025-12-22,100590,머큐리,KOSDAQ,0,681895,0,213,0,0,681895,0,0,0,213,0,0.0,0.0,0.0,0.0,4719290.0,11620510.0,24360500.0,25403370.0,0.0,0.0,0.0,0.0,1487.0,3652.0,7602.0,7916.0
2025-12-22,109820,진매트릭스,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-76635.0,-4368900.0,-3267546.0,0.0,0.0,0.0,0.0,0.0,-31.0,-1787.0,-1353.0
2025-12-22,114810,한솔아이원스,KOSDAQ,-108584695,-1282745,-8745,-102,0,108584695,18199405,19482150,0,8745,1462,1564,-108584695.0,-108584695.0,73871525.0,-338987420.0,-616805.0,-119476780.0,-323499005.0,-568030360.0,-8745.0,-8745.0,6200.0,-28345.0,-53.0,-10005.0,-26532.0,-46205.0
2025-12-22,126340,비나텍,KOSDAQ,639556000,824717200,8317,11029,639556000,0,1757438000,932720800,8317,0,23180,12151,639556000.0,112542150.0,-1265285000.0,-1101774350.0,1293958200.0,1752472100.0,908602350.0,184248750.0,8317.0,817.0,-18457.0,-14025.0,17447.0,23829.0,12516.0,1646.0
2025-12-22,136540,윈스테크넷,KOSDAQ,-144392920,0,-12000,0,0,144392920,0,0,0,12000,0,0,-144392920.0,-144392920.0,-144392920.0,-144392920.0,25256940.0,32963090.0,62810700.0,95533610.0,-12000.0,-12000.0,-12000.0,-12000.0,2104.0,2743.0,5247.0,8004.0
2025-12-22,142280,녹십자엠에스,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-78360.0,-3709155.0,-2541595.0,0.0,0.0,0.0,0.0,0.0,-19.0,-904.0,-623.0
2025-12-22,155660,DSR,KOSPI,0,496545,0,127,0,0,2638840,2142295,0,0,677,550,0.0,0.0,0.0,0.0,-1518985.0,-12972455.0,7099290.0,6950210.0,0.0,0.0,0.0,0.0,-387.0,-3288.0,1773.0,1731.0
2025-12-22,186230,그린플러스,KOSDAQ,0,6010,0,1,0,0,6010,0,0,0,1,0,0.0,0.0,0.0,0.0,17780.0,29475.0,65245.0,135955.0,0.0,0.0,0.0,0.0,3.0,5.0,11.0,23.0
2025-12-22,189330,씨이랩,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
